,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Distance,Scor_Dimensiune_Zbor,Scor_Intarzieri
46895,45.0,38.0,56.0,73.0,401.0,-0.7592746824753068,0.5288538862676584
46896,0.0,0.0,171.0,189.0,1371.0,0.8712230109715939,-0.31177297565044504
46897,0.0,0.0,74.0,96.0,515.0,-0.5344843310615589,-0.24199678592112048
46898,0.0,0.0,202.0,220.0,1514.0,1.298971733312043,-0.3669081604378441
46899,0.0,0.0,31.0,53.0,118.0,-1.1561859191418675,-0.20525958436738617
46900,0.0,1.0,94.0,121.0,590.0,-0.26747938327308507,-0.28803264298424563
46901,25.0,12.0,97.0,113.0,724.0,-0.22201626881239875,-0.006877979173594164
46903,0.0,0.0,147.0,180.0,977.0,0.46617118351601317,-0.4045499358485203
46904,0.0,0.0,59.0,71.0,293.0,-0.7409991418048216,-0.19336358491282787
46905,0.0,0.0,130.0,155.0,983.0,0.26148573427446176,-0.31540562850268655
46906,0.0,0.0,294.0,321.0,2556.0,2.6365766028041864,-0.4542490957248004
46907,0.0,0.0,341.0,366.0,2378.0,3.233165382550908,-0.6063204812672759
46908,0.0,0.0,180.0,199.0,1300.0,0.9771087270122263,-0.35554227299437796
46909,0.0,0.0,156.0,191.0,1235.0,0.616819755395432,-0.38775252600201127
46910,0.0,8.0,64.0,99.0,368.0,-0.6786792287009321,-0.1586707463186805
46911,0.0,0.0,63.0,80.0,481.0,-0.6727319173002558,-0.19282077219729873
46912,0.0,0.0,38.0,57.0,201.0,-1.0456688076300542,-0.19180703676658262
46913,14.0,7.0,71.0,91.0,413.0,-0.6011728973000414,-0.11300604743659524
46914,0.0,0.0,72.0,95.0,419.0,-0.5767036696907337,-0.2610520947167848
46915,0.0,0.0,68.0,89.0,453.0,-0.6199481499877159,-0.23293947061816336
46916,0.0,0.0,123.0,140.0,764.0,0.1560580746594831,-0.2982885081274477
46917,0.0,19.0,103.0,171.0,641.0,-0.1496844352024,-0.17098798971752277
46918,0.0,0.0,149.0,164.0,1254.0,0.5721289843693118,-0.25999138159372887
46919,1.0,0.0,116.0,130.0,957.0,0.09478530340499108,-0.2252931123606118
46920,0.0,0.0,99.0,128.0,641.0,-0.203600744204692,-0.3210921082961607
46921,0.0,0.0,58.0,95.0,303.0,-0.8084250535638854,-0.31997435075175357
46923,0.0,0.0,78.0,97.0,587.0,-0.464956801051755,-0.2226406675277506
46924,0.0,0.0,195.0,234.0,1744.0,1.1930461537756085,-0.4122876084185305
46925,0.0,0.0,156.0,181.0,1195.0,0.6333924071428901,-0.34322976070274513
46926,21.0,0.0,224.0,253.0,1620.0,1.5041454408595647,-0.468858502594446
46927,0.0,0.0,73.0,106.0,479.0,-0.5772802189583803,-0.30427509622660076
46928,32.0,23.0,75.0,97.0,460.0,-0.535898286730656,0.17799418131117628
46929,0.0,0.0,55.0,75.0,371.0,-0.8002449492829415,-0.20897349246768343
46930,0.0,9.0,295.0,346.0,2565.0,2.6393291201409927,-0.40795660295709
46931,0.0,0.0,73.0,84.0,562.0,-0.5163962599037754,-0.17211502421072897
46932,0.0,0.0,38.0,72.0,192.0,-1.0803831340202683,-0.27239521510534476
46933,14.0,0.0,142.0,158.0,1076.0,0.4028197881769547,-0.28590980737608607
46934,30.0,32.0,88.0,102.0,543.0,-0.2864904508939231,0.37532094736715743
46935,0.0,0.0,60.0,81.0,292.0,-0.748059800967788,-0.24353763934521255
46936,0.0,1.0,135.0,162.0,1121.0,0.3470826184825378,-0.29255920852505235
46937,3.0,0.0,98.0,119.0,734.0,-0.19627398955297248,-0.25861490792466124
46938,28.0,26.0,73.0,97.0,515.0,-0.5306464359282471,0.24277934469321602
46939,2.0,0.0,71.0,101.0,458.0,-0.6069700495351495,-0.2878824619530687
46940,0.0,0.0,45.0,73.0,258.0,-0.9656083826921176,-0.24658612997199783
46941,72.0,62.0,53.0,70.0,468.0,-0.7734322232274459,1.004724195431857
46942,0.0,0.0,239.0,257.0,1911.0,1.8418364435030947,-0.38743693535460527
46943,0.0,6.0,152.0,175.0,1162.0,0.6084540478266842,-0.21301863969018625
46944,0.0,0.0,102.0,120.0,701.0,-0.13109794961352916,-0.2594152049949366
46945,0.0,2.0,121.0,140.0,850.0,0.14689734987903458,-0.24768489272178618
46946,0.0,0.0,136.0,150.0,1044.0,0.3735497989518333,-0.26163288010850166
